Age (Ma),MODEL CO2,C02-Low,CO2-High,O2,O2-Low,O2-High,GIT CO2 (2),
570,5548.55834446528,5548.55834446528,5548.55834446528,14.8809523809524,14.8809523809524,14.8809523809524,1244.99711,
560,5972.6409116865,5972.6409116865,5972.6409116865,11.6755486022911,11.6755486022911,11.6755486022911,1226.146824,
550,5975.84731630109,5975.84731630109,5975.84731630109,20.4638371098886,20.4638371098886,20.4638371098886,1207.551158,
540,5850.54461481648,5850.54461481648,5850.54461481648,17.2670436581092,17.2670436581092,17.2670436581092,1189.207115,
530,5984.92861266981,5984.92861266981,5984.92861266981,22.7753313354947,22.7753313354947,22.7753313354947,1171.111728,
520,5292.96826336381,5292.96826336381,5292.96826336381,20.8661726069611,20.8661726069611,20.8661726069611,1153.262061,
510,4587.3700075545,4587.3700075545,4587.3700075545,20.7644903330479,20.7644903330479,20.7644903330479,1135.655203,
500,4047.98810744773,4047.98810744773,4047.98810744773,19.0825444158004,19.0825444158004,19.0825444158004,1118.288277,
490,3499.47836502151,3499.47836502151,3499.47836502151,19.0485407345374,19.0485407345374,19.0485407345374,1101.15843,
480,3766.1808998857,3766.1808998857,3766.1808998857,16.9386128227347,16.9386128227347,16.9386128227347,1084.262841,
470,3101.10299301417,3101.10299301417,3101.10299301417,14.7124548062025,14.7124548062025,14.7124548062025,1067.598715,
460,2590.59691687971,2590.59691687971,2590.59691687971,18.9427422154201,18.9427422154201,18.9427422154201,1051.163287,
450,1005.8758946954,1005.8758946954,1005.8758946954,19.0864588002427,19.0864588002427,19.0864588002427,1034.953818,
440,1084.00174034127,1084.00174034127,1084.00174034127,21.7370517206899,21.7370517206899,21.7370517206899,1018.967597,
430,1615.12559417039,1615.12559417039,1615.12559417039,23.1798635853897,23.1798635853897,23.1798635853897,1003.201941,
420,1725.07336581095,1725.07336581095,1725.07336581095,26.2373310734854,26.2373310734854,26.2373310734854,987.6541942,
410,1888.01840022229,1888.01840022229,1888.01840022229,27.7518164735101,27.7518164735101,27.7518164735101,972.3217266,
400,2209.33141914542,2209.33141914542,2209.33141914542,19.114646122385,19.114646122385,19.114646122385,957.2019359,
390,1256.51961183087,1256.51961183087,1256.51961183087,21.2241731605767,21.2241731605767,21.2241731605767,942.292246,
380,1488.58494519361,1488.58494519361,1488.58494519361,17.7543632198722,17.7543632198722,17.7543632198722,927.5901071,
370,1088.29450432306,1088.29450432306,1088.29450432306,15.8917518416167,15.8917518416167,15.8917518416167,913.0929955,
360,1031.46601128429,1031.46601128429,1031.46601128429,18.2441819702456,18.2441819702456,18.2441819702456,898.7984133,
350,536.922543770885,536.922543770885,536.922543770885,26.6794034468973,26.6794034468973,26.6794034468973,884.7038884,
340,708.687516089532,708.687516089532,708.687516089532,26.027692528722,26.027692528722,26.027692528722,870.806974,
330,464.514795530402,464.514795530402,464.514795530402,23.3878729260843,23.3878729260843,23.3878729260843,857.1052485,
320,433.966173978426,433.966173978426,433.966173978426,25.3015871778868,25.3015871778868,25.3015871778868,843.5963156,
310,371.255005531569,371.255005531569,371.255005531569,29.5061430666221,29.5061430666221,29.5061430666221,830.2778034,
300,368.208709240253,368.208709240253,368.208709240253,31.9676091681638,31.9676091681638,31.9676091681638,817.1473651,
290,436.129324261859,436.129324261859,436.129324261859,33.8362648121296,33.8362648121296,33.8362648121296,804.2026779,
280,388.28034507835,388.28034507835,388.28034507835,33.5297072812715,33.5297072812715,33.5297072812715,791.4414435,
270,374.890389089757,374.890389089757,374.890389089757,34.2800708680871,34.2800708680871,34.2800708680871,778.8613876,
260,408.319621591061,408.319621591061,408.319621591061,32.6143476548447,32.6143476548447,32.6143476548447,766.4602595,
250,907.064675045505,907.064675045505,907.064675045505,21.7279018219084,21.7279018219084,21.7279018219084,754.2358323,
240,820.92369531248,820.92369531248,820.92369531248,18.4571791643619,18.4571791643619,18.4571791643619,742.1859026,
230,567.547187588457,567.547187588457,567.547187588457,21.7808564259887,21.7808564259887,21.7808564259887,730.30829,
220,341.832053728358,341.832053728358,341.832053728358,27.7366792270776,27.7366792270776,27.7366792270776,718.6008373,
210,405.276925441426,405.276925441426,405.276925441426,24.9434380728627,24.9434380728627,24.9434380728627,707.0614101,
200,288.521509949144,288.521509949144,288.521509949144,20.0496345136219,20.0496345136219,20.0496345136219,695.6878967,
190,273.876781241149,273.876781241149,273.876781241149,11.7489188746885,11.7489188746885,11.7489188746885,684.4782077,
180,227.919426766109,227.919426766109,227.919426766109,12.1348275229988,12.1348275229988,12.1348275229988,673.4302762,
170,194.214080035976,194.214080035976,194.214080035976,13.7481745086885,13.7481745086885,13.7481745086885,662.5420571,
160,244.05051085052,244.05051085052,244.05051085052,15.435447112605,15.435447112605,15.435447112605,651.8115276,
150,337.305009290037,337.305009290037,337.305009290037,15.660807383056,15.660807383056,15.660807383056,641.2366861,
140,570.325003070054,570.325003070054,570.325003070054,12.9493385163904,12.9493385163904,12.9493385163904,630.8155528,
130,723.18855729,723.18855729,723.18855729,20.6661082080463,20.6661082080463,20.6661082080463,620.5461693,
120,382.26697581595,382.26697581595,382.26697581595,23.7960563343772,23.7960563343772,23.7960563343772,610.4265983,
110,341.472948126508,341.472948126508,341.472948126508,24.322190699912,24.322190699912,24.322190699912,600.4549232,
100,261.589433283258,261.589433283258,261.589433283258,24.5757377472239,24.5757377472239,24.5757377472239,590.6292486,
90,233.761958769895,233.761958769895,233.761958769895,24.3812950677865,24.3812950677865,24.3812950677865,580.9476994,
80,209.943631591242,209.943631591242,209.943631591242,23.6491946792412,23.6491946792412,23.6491946792412,571.4084211,
70,240.426426274892,240.426426274892,240.426426274892,23.6253082456339,23.6253082456339,23.6253082456339,562.0095794,
60,294.764204840492,294.764204840492,294.764204840492,22.584420855297,22.584420855297,22.584420855297,552.74936,
50,252.816154477539,252.816154477539,252.816154477539,22.0945044417869,22.0945044417869,22.0945044417869,543.6259686,
40,243.060030684103,243.060030684103,243.060030684103,24.2086870416812,24.2086870416812,24.2086870416812,534.6376305,
30,271.92235858863,271.92235858863,271.92235858863,24.6682796967108,24.6682796967108,24.6682796967108,525.7825908,
20,264.637191909928,264.637191909928,264.637191909928,23.8550055817163,23.8550055817163,23.8550055817163,517.0591136,
10,268.460448797257,268.460448797257,268.460448797257,22.2349772248797,22.2349772248797,22.2349772248797,508.4654825,
0,243.255561093838,243.255561093838,243.255561093838,20.6156862509803,20.6156862509803,20.6156862509803,500,
