Age,CO2,HIGH,LOW,O2,HIGH,LOW
570,8855.04656649408,10675.1957590105,7371.49250560585,14.8809523809524,14.8809523809524,14.8809523809524
560,9293.77315206233,11243.4843595013,7703.09210805259,13.790429658127,14.0586512468745,13.5355503231514
550,8979.23892542473,10854.1040829026,7447.1655844549,17.9757908842733,17.8646059870262,18.0932625265729
540,8587.33965194273,10401.8299923673,7109.49397406113,17.5067982413187,17.6447511493836,17.3928438130352
530,7148.87752321992,8596.00323625693,5961.72477817013,21.1089588603633,20.9289666247977,21.3074344696068
520,7642.79138118413,9126.25639682036,6418.65053466219,21.4328364528451,21.4683262243991,21.4179539010643
510,8469.85040920022,10046.5006646546,7160.6499363915,20.8506517707431,20.7948576578058,20.9207965099735
500,6292.12250009313,7396.21595305978,5368.26444299894,17.7189426732884,17.5949864501902,17.8684355770926
490,4573.32378167433,5377.9123414082,3900.80490255663,18.7247774821978,18.692882576677,18.7647697112546
480,3548.13982039959,4176.58644207028,3023.06376756649,16.6954493464097,16.5909720610229,16.8087533499171
470,2537.3590944789,2987.41880675748,2161.48444334845,14.9435760866071,14.8649232286126,15.0276955312456
460,2064.60628674182,2436.74185791459,1754.42992473077,18.2597642979125,18.3110198133619,18.2012162228727
450,1730.28680238269,2042.79805834737,1469.90841866627,17.9285582891977,17.9245583245879,17.9341383932765
440,2219.20023272649,2634.67787423536,1874.71021211533,21.3257567909232,21.3833688904707,21.2648497162493
430,1612.06906143821,1897.88217252547,1373.1992987263,23.6885109977772,23.8003596387389,23.5686643276617
420,1970.7818242665,2323.85002424646,1675.19657094062,24.8881929901757,25.0384056739981,24.7274623666392
410,2582.04081478323,3056.55450961842,2185.07257371481,26.9034934391169,27.1518807855708,26.6312592657628
400,4208.43700494713,4980.83803471042,3563.05329314852,19.3704555232237,19.4784109600767,19.2576213244306
390,2282.3258313804,2717.32730137916,1921.58344539934,22.3852852781098,22.4775126389258,22.2751025761809
380,2187.48177630261,2583.83317666662,1856.17885585622,18.812020357258,18.8092433143946,18.809459200778
370,1718.96495782125,2079.76513007347,1421.65782379479,16.4912913396343,16.3963604110978,16.5915726506179
360,1036.9974444044,1301.78311378512,827.605707650498,19.1283910000247,19.0958300600167,19.1461087086508
350,636.039773445951,879.022842552517,469.767699074348,25.9180176459083,25.8949790778402,25.8508437033539
340,684.251885768016,900.426762722183,530.544974950968,25.7610719862909,26.0800631949727,25.3433539733417
330,473.213666434627,550.603943502199,408.432328728879,23.1317291427457,23.5266294999886,22.652015295772
320,451.399118514125,527.111252979032,387.393178237678,25.2037630760483,25.5206280530642,24.8058329092924
310,361.453456957049,419.832913393742,312.088018532676,29.1755020964502,29.5055639549449,28.7356405469984
300,366.184941464887,425.083897236794,316.728534482759,31.5063042201647,31.8991714821588,30.9946850019206
290,443.711202660352,515.350440638573,383.521841735318,33.1794659806025,33.5778835915668,32.6720954983706
280,447.42370737421,519.210622196355,387.083797728484,32.664133989695,33.0074275077309,32.2383895754808
270,734.13084735404,858.139459441614,631.176954108591,33.4232538620929,33.7147054803239,33.0648663108992
260,725.656860642027,848.295360740278,623.326864298323,32.032198982921,32.2379971365426,31.7969901777642
250,4140.39214735095,5495.80334123297,3146.02958901527,21.5018573581392,21.8625239354161,21.1628337557873
240,3214.85624702813,4318.57929833096,2416.08103870674,17.5890492038162,17.797116470353,17.4445349081417
230,1204.00690424294,1576.01799567312,930.889834459623,20.9387051867131,20.8576095050725,21.0379870627263
220,2087.89871047656,2858.01863183477,1545.90467171823,25.8842191758579,25.7847303437792,25.9633968047003
210,1574.47310442392,2116.01055638811,1186.79651554084,23.2933922845058,23.2177233178657,23.3606800784963
200,1523.64953243918,2084.60037519547,1130.45701347932,18.11083231057,18.1009040945962,18.1372537917809
190,1016.46913078294,1343.71122692466,779.53148339724,7.18484645417847,7.36179707854777,7.08433678382679
180,713.447463961477,968.641034859981,534.829568421189,16.0482201234618,15.6846745704131,16.2753451115603
170,785.831831145975,1074.62365845666,584.724083030508,14.7808038914376,14.5808862929971,14.9259510701637
160,957.355093134474,1307.55392826073,713.249507761507,15.9841310490741,15.8879361785927,16.0534357052875
150,1084.48921477382,1471.62294164781,811.644778154789,16.6083259271406,16.5478891187664,16.6361671903592
140,1928.82000706582,2609.35969552222,1443.02004839068,12.8814381579326,12.8206094659095,12.9481590105539
130,2870.80883091974,3964.72101568345,2103.2296843804,21.4935460124992,21.4593163685573,21.4955720967045
