Age,CO2,HIGH,LOW,O2,HIGH,LOW
570,8855.04656649408,10675.1957590105,7371.49250560585,14.8809523809524,14.8809523809524,14.8809523809524
560,9293.77315206233,11243.4843595013,7703.09210805259,13.790429658127,14.0586512468745,13.5355503231514
550,8979.23892542473,10854.1040829026,7447.1655844549,17.9757908842733,17.8646059870262,18.0932625265729
540,8587.33965194273,10401.8299923673,7109.49397406113,17.5067982413187,17.6447511493836,17.3928438130352
530,7148.87752321992,8596.00323625693,5961.72477817013,21.1089588603633,20.9289666247977,21.3074344696068
520,7642.79138118413,9126.25639682036,6418.65053466219,21.4328364528451,21.4683262243991,21.4179539010643
510,8469.85040920022,10046.5006646546,7160.6499363915,20.8506517707431,20.7948576578058,20.9207965099735
500,6292.12250009313,7396.21595305978,5368.26444299894,17.7189426732884,17.5949864501902,17.8684355770926
490,4573.32378167433,5377.9123414082,3900.80490255663,18.7247774821978,18.692882576677,18.7647697112546
480,3548.13982039959,4176.58644207028,3023.06376756649,16.6954493464097,16.5909720610229,16.8087533499171
470,2537.3590944789,2987.41880675748,2161.48444334845,14.9435760866071,14.8649232286126,15.0276955312456
460,2064.60628674182,2436.74185791459,1754.42992473077,18.2597642979125,18.3110198133619,18.2012162228727
450,878.180783653478,982.40345228809,786.937726382261,18.4474144892814,18.5073764862764,18.3856863032232
440,1119.80792974981,1260.58355352286,996.676397966814,20.9699577661655,20.9750635287715,20.9609875296848
430,1733.43408449503,2041.59858747012,1475.33295096609,22.3277157910509,22.320654394077,22.3302869839918
420,1959.35902312694,2309.90025949574,1665.77431066986,24.6657290481852,24.7832005212212,24.5365157691671
410,2590.377261322,3065.06464845546,2192.98054509752,26.8547197314876,27.0997485316521,26.5855424101504
400,4210.23296673203,4981.6733916411,3565.44690258349,19.4172888341124,19.5352817137738,19.2947512977982
390,2278.93541895177,2712.81663694711,1919.09007113288,22.4903166501047,22.5958265465036,22.3672756741292
380,2187.5561640287,2583.68076764568,1856.41767719428,18.9086488394993,18.9197820853786,18.892818613622
370,1719.39823934688,2080.05562877469,1422.1958952303,16.5872832941621,16.5021909279671,16.6779719000314
360,1037.49049339169,1302.27255941003,828.090866255973,19.172733432571,19.142120943033,19.1884662839976
350,636.028820128367,878.979934264457,469.769938535741,25.9468669130832,25.9247236144825,25.8788610839117
340,684.210377191167,900.319869909626,530.543573429281,25.785599349736,26.1061169423824,25.3663844304742
330,473.218199775581,550.598151972957,408.444026191487,23.1579311798336,23.5551354942665,22.6759851047442
320,451.495996170023,527.212769264292,387.486107236039,25.2231952488802,25.5417770878698,24.8236334039716
310,361.568134879911,419.95210227178,312.198366131046,29.1909182390397,29.5221112784095,28.7500442864571
300,366.231891127913,425.134781047532,316.772005205521,31.5192007743952,31.9128568035757,31.0069354407337
290,443.759128311091,515.401184957024,383.567610802081,33.1894032301109,33.5885837575237,32.6813892382776
280,447.435672617337,519.221587755088,387.096809834021,32.672008007993,33.0160880675087,32.2455867148566
270,734.08294823867,858.081035402549,631.137902373023,33.4289910732881,33.7212145035456,33.0699266246172
260,725.567680251916,848.187705657419,623.252990602043,32.0365860011994,32.2431826930038,31.8006663980438
250,4139.768511826,5494.93911605572,3145.57452967402,21.5055400408281,21.8671338585861,21.1656966550583
240,3214.78999904398,4318.44425001399,2416.05321881838,17.5912565268587,17.8000051532951,17.4461698071847
230,1204.14523499841,1576.17580007961,931.00782134196,20.9411698049636,20.8603876081334,21.0401646862893
220,2087.98982717589,2858.10389710779,1545.98905183002,25.8863034375674,25.7871045223927,25.965200380897
210,1574.55624420826,2116.09969922119,1186.86845887518,23.2951302424895,23.2198336323083,23.3620551733649
200,1523.61846213576,2084.53896458788,1130.44185882187,18.1127347436022,18.1032604021922,18.1387033484777
190,1016.56166684877,1343.82547032292,779.605019242054,7.18801745345225,7.36541786339712,7.08702445717296
180,713.493979482004,968.695040831783,534.868138270409,16.0581402151675,15.6940331912766,16.2858217874756
170,785.779330853794,1074.53266976224,584.696113875463,14.7881480087216,14.5881692037364,14.9333196463828
160,957.285576648657,1307.43978173957,713.206775415128,15.9897219568805,15.8936536751702,16.058864032302
150,1084.41743634152,1471.50743000448,811.599588719896,16.6141119421879,16.5538999005133,16.6417025118488
140,1928.77311067645,2609.27315203202,1442.99524150378,12.8870071888695,12.826453076486,12.9534286653635
130,2870.81458947712,3964.68214329964,2103.25486973925,21.4970711113012,21.4628785131198,21.4990417418317
