age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC
470,82,3.615500546,-1,0.3272184,27.4,1.800296272,1.0023,0.080184,1.07,0.428,0.62,0.31,0.62,0.31,1,0.2,1,0.2,0.92,0.46,0.92,0.46,0.029180872,0.014590436,4.6,5,4.6,5,1.5,0.2625,0.75,0.16875
460,80,5.590051807,0,0.2710116,25.4,0.912432646,0.9934,0.079472,1.07,0.428,0.62,0.31,0.62,0.31,1,0.2,1,0.2,0.9,0.45,0.9,0.45,0.027631331,0.013815666,5.8,5,5.8,5,1.52,0.266,0.75,0.16875
450,78,1.521790595,0,0.2638584,26,1.898209683,0.9833,0.078664,1.15,0.46,0.67,0.335,0.67,0.335,1,0.2,1,0.2,1,0.5,1,0.5,0.026081789,0.013040895,4.6,5,4.6,5,1.52,0.266,0.75,0.16875
440,79,2.787186692,0.7,0.7905024,27,2.091082364,0.9723,0.077784,1.43,0.572,0.63,0.315,0.63,0.315,1,0.2,1,0.2,1.1,0.55,1.1,0.55,0.024532248,0.012266124,2.6,5,2.6,5,1.55,0.27125,0.75,0.16875
430,81,1.935793291,1,0.6384312,27.6,1.744051113,0.9603,0.076824,1.43,0.572,0.62,0.31,0.62,0.31,1,0.2,1,0.2,1.31,0.655,1.31,0.655,0.022982706,0.011491353,0.1,5,0.1,5,1.55,0.27125,0.75,0.16875
420,86,2.270982213,1.5,0.8198316,26.5,1.292569239,0.9475,0.0758,1.54,0.616,0.74,0.37,0.74,0.37,1,0.2,1,0.2,1.28,0.64,1.28,0.64,0.022486505,0.011243253,-1.9,5,-1.9,5,1.53,0.26775,0.75,0.16875
410,87,3.358490877,2,0.33921,23.6,0.899184816,0.9339,0.074712,1.63,0.652,0.74,0.37,0.74,0.37,1,0.2,1,0.2,1.25,0.625,1.25,0.625,0.022410168,0.011205084,-0.9,5,-0.9,5,1.48,0.259,0.75,0.16875
400,85,1.909957966,0.5,0.3367944,21.7,0.867409938,0.9196,0.073568,1.63,0.652,0.74,0.37,0.74,0.37,1,0.2,1,0.2,1.23,0.615,1.23,0.615,0.022333831,0.011166916,0.1,5,0.1,5,1.38,0.2415,0.75,0.16875
390,80,1.046992592,1.5,0.4872636,21.2,1.560170931,0.9047,0.072376,1.47,0.588,0.72,0.36,0.72,0.36,1,0.2,1,0.2,1.22,0.61,1.22,0.61,0.022257495,0.011128748,1.1,5,1.1,5,1.36,0.238,0.75,0.16875
380,78,1.54523811,1,0.4729608,21.2,0.799699944,0.8892,0.071136,1.47,0.588,0.69,0.345,0.69,0.345,1,0.2,1,0.2,1.21,0.605,1.21,0.605,0.022181158,0.011090579,1,5,1,5,1.38,0.2415,0.75,0.16875
