Age (Ma),B_CO2 (ppm),B_0.025,B_0.975,B_O2 (%),B_0.025,B_0.975,R_CO2 (ppm),R_0.025,R_0.975,R_O2 (%),R_0.025,R_0.975,M12_CO2 (ppm),M12_LOW5%,M12_HIGH5%,M12_O2 (%),COPSE_L18_CO2(ppm),COPSE_HYBRID_CO2 (ppm),SCION_M21_CO2 (ppm),SCION_M21_O2 (%),GEOCLIM_CO2 (ppm)
210,419.2,325.8,564.9,24.7,23,26.4,787.7,544.1,1246.9,23.2,21.6,25,1574.5,941.6,2870.9,23.3,1059.7,1841.4,1294.2,21.7,2911.7
200,339.8,271.6,444.7,20.1,18.2,22,421.3,315,596.6,18,16,20.2,1523.6,906.2,2804.4,18.1,556.9,1879.6,593.3,20.9,745.2
190,440.6,347.1,591.4,12.2,9.6,14.6,485.8,359.7,696.6,10.2,7.4,13.1,1016.5,638.5,1755.4,7.2,579.2,1039.6,514.7,20.8,540.8
180,397.8,316.6,526.8,11.8,10,13.5,359.7,271.5,494.6,12.4,10.4,15.4,713.4,451.8,1228,16,697.9,1221.9,617.1,21.3,850
170,288.5,229.7,371.6,13.3,11.6,14.8,268.1,205.1,366.1,13.6,11.9,15.3,785.8,495,1359.5,14.8,824.4,2279.9,629,21.7,806.8
160,318.5,252.6,413.4,15.1,13.6,16.5,292.3,223.5,397.2,15.3,13.8,16.9,957.4,589.7,1700.2,16,856.2,2921,559.8,21.6,649.2
150,349.2,277.1,456.5,15.4,13.7,16.9,317.6,241.2,433.6,15.6,13.9,17.3,1084.5,662.2,1942,16.6,822.8,2890.7,600.4,21.7,597.1
140,467,366.6,629.3,13.3,11.6,14.9,400.4,303.9,547.2,13.2,11.4,15.1,1928.8,1125.8,3609.2,12.9,841.4,3688.4,1071.2,22.7,573.3
130,552.6,425,768.6,18.6,17.2,19.9,411.4,310.6,571.9,18.9,17.4,20.4,2870.8,1597.9,5655,21.5,766.8,5596.5,2375.9,23.6,513.9
120,525.4,413.4,704.9,22,20.3,23.5,363.2,279.6,491.7,22.1,20.4,23.8,1420.5,833.8,2657.1,25,839,5109.9,3556.3,24,431.9
110,609.7,480.3,828.3,23.3,21.6,25.1,347.7,273.3,456.2,23.6,21.8,25.4,914.8,562.8,1622.7,26.1,916.1,3574.3,3024.3,24.4,353.5
100,623.5,493.1,830.7,24.3,22.6,25.9,290.5,232.4,370.9,24.3,22.7,26,350.5,236.5,554.2,25.7,1127.7,1663,2504.3,24.6,291
90,506,416,639.7,24.4,22.8,26,192.5,158.8,237.4,24.3,22.7,26,308.1,209.4,483.1,24.8,1230.1,1990.5,1868.9,24.5,248
80,473,394,588.2,23.8,22.3,25.4,186.6,156.7,229,23.5,22.1,25.2,282.7,195.1,434.9,23.8,1130.3,1963.4,1744.6,24.1,223.6
70,453.4,379.7,560.4,23.8,22.3,25.4,202.9,167.7,249.9,23.5,22.1,25.1,262.4,183.5,397,23.6,988.4,1315.8,1702.1,23.9,213.7
60,393.3,334,475.9,22.9,21.3,24.4,249.2,204.3,305.2,22.5,20.8,24.3,303,211.5,460.1,22.4,679.1,1094.6,1353.4,23.7,202.6
50,331.3,286.1,392.3,22.3,20.8,23.8,283.1,232.3,350.4,22,20.5,23.7,217.6,157.7,315.3,22,508.8,628.8,905.3,23.4,137.1
40,255.4,233.8,279.5,24.4,23.1,25.6,234.5,206.9,264.2,24.5,23.3,25.9,219.5,180.7,273.9,24.4,401.8,569.4,798.7,23.5,61.8
30,222.8,202.2,243.8,24.8,23.6,26.2,218.9,191.8,247.5,24.9,23.7,26.3,261.6,212.5,331,24.8,316.8,376.7,847.9,23.8,243.2
20,229.7,208.7,252.4,24.2,22.9,25.6,242,212.9,274.2,24,22.7,25.5,279.4,225.5,355.6,23.9,324.1,404.8,757,23.8,524
10,245.7,224,269.8,22.7,21.3,24.1,271,239.1,307.9,22.3,21,23.9,266.1,215.4,337.2,22.1,321.3,338.5,473.5,23.1,419.6
0,242.4,221.6,265.3,21,19.6,22.4,269.1,237.5,295.9,20.5,19.3,22.1,241,234.4,248,20.5,299.2,328.1,289.7,22,263
