Age,Type,CO2
3.087166667,alkenones,254.1847871
3.09118335,d11B,334.1967747
3.095,stomata,357
3.0963,alkenones,275.0990079
3.100177002,d11B,319.3076752
3.10491,d11B,248.9
3.106122222,alkenones,271.2610935
3.114238281,d11B,391.5537762
3.1173,alkenones,344.2785413
3.13044,alkenones,271.5924793
3.1313,alkenones,317.7473047
3.133154785,d11B,345.2533485
3.143166016,d11B,333.8739095
3.151899902,d11B,403.1755043
3.155922,d11B,232.7
3.157937012,d11B,339.6462652
3.160107422,d11B,525.2573366
3.160566667,alkenones,277.8068909
3.171554932,d11B,451.6516854
3.172,alkenones,334.9296272
3.172,d11B,336.1192159
3.179787109,d11B,381.0730198
3.1814,alkenones,259.3395586
3.189189941,d11B,283.444613
3.1899,alkenones,274.4493008
3.198729248,d11B,330.9028056
3.199993333,alkenones,272.1758847
3.209233333,alkenones,267.0425402
3.209375244,d11B,326.3790071
3.2145,d11B,423.4779358
3.21857,d11B,241.9
3.220122222,alkenones,265.0495977
3.224604492,d11B,375.8476571
3.229,alkenones,340.8839229
3.239165,d11B,330.4
3.239885986,d11B,423.2404205
3.242925293,d11B,354.4572041
3.24333,alkenones,273.1645565
3.2449021,d11B,441.1839348
3.245811768,d11B,316.3011126
3.259145,d11B,251.5
3.259577881,d11B,347.8290469
3.25975,alkenones,270.026121
3.2671,alkenones,261.7614644
3.270168457,d11B,364.7508124
3.275255556,alkenones,257.7837042
3.280600586,d11B,313.3691783
3.28675,alkenones,275.822951
3.321,alkenones,335.873493
3.321595,d11B,273.6
3.364,alkenones,320.9652318
3.4,stomata,330
3.403243,d11B,254.8
3.40673,d11B,250.5
3.457,alkenones,339.2498038
3.471466,d11B,291.6
3.4959,d11B,366.2552519
3.51,alkenones,393.1181751
3.522,alkenones,345.7221112
3.542526,d11B,329.3
3.59077,d11B,282.2
3.6249,alkenones,362.006108
3.6594,d11B,356.7637329
3.673,alkenones,345.8968818
3.716058,d11B,309.8
3.792177,d11B,287.5
3.8462,alkenones,356.9372018
3.8485,alkenones,326.6328712
3.870131,d11B,407.9
3.887,d11B,506.9433289
3.89,stomata,355.2634375
3.9335,alkenones,337.7116154
3.96,paleosols,80
3.961068,d11B,294.5
3.9855,alkenones,333.7977472
4,stomata,362.5
4.028,alkenones,329.4110483
4.036184,d11B,334.4
4.0995,d11B,379.7651062
4.1062,alkenones,348.0392349
4.1135,alkenones,353.7035037
4.117132,d11B,393.7
4.342,alkenones,381.052551
4.4336,alkenones,350.9506923
4.4475,alkenones,379.4015681
4.5774,alkenones,369.8079438
4.580295,d11B,424.7
4.6,stomata,270
4.7762,alkenones,360.9540902
4.781,alkenones,351.1176473
4.862,alkenones,383.3914865
4.9432,alkenones,422.3073309
5,paleosols,324
5.042,alkenones,448.3648998
5.1,stomata,357.5
5.185,d11B,432.591156
5.191,alkenones,457.38496
5.5,paleosols,222
6.35,d11B,331.8354492
6.4,paleosols,213.2518202
6.65,paleosols,283.170342
6.8,paleosols,371.5013015
7,paleosols,148
7.1,paleosols,468
7.15,alkenones,378.5531964
7.2,stomata,270
7.66,paleosols,292
8.365,paleosols,133.3333333
8.48,stomata,360
8.5,stomata,350
8.75,paleosols,273.7877451
8.923583031,alkenones,302.2481051
9,paleosols,204
9.1,paleosols,197.1487852
9.204855919,alkenones,277.1497874
9.292890549,alkenones,269.7017118
9.369908333,alkenones,276.3792163
9.421133995,alkenones,240.0153032
9.5,stomata,351
9.717751503,alkenones,353.1858051
9.835664749,alkenones,294.2978747
9.864761353,alkenones,217.0703112
9.941058159,alkenones,249.7780719
10.01992702,alkenones,255.376001
10.11421013,alkenones,316.0141968
10.17692661,alkenones,282.8740545
10.24088955,alkenones,291.402851
10.30236053,alkenones,288.4907118
10.36383152,alkenones,240.4492985
10.42613316,alkenones,221.4149789
10.47805023,alkenones,344.5960553
10.5,stomata,370
10.52290726,alkenones,247.1846669
10.55,paleosols,448
10.70607376,alkenones,295.06229
10.83483028,alkenones,236.4230266
11.18881226,alkenones,232.6562622
11.51802826,alkenones,286.7918482
11.56,stomata,332.159
11.57858849,alkenones,268.3886761
11.73302555,alkenones,280.4007083
11.8,d11B,247.4762533
11.96,stomata,468.2183083
11.96497345,alkenones,275.2746726
12.03740597,alkenones,314.1961205
12.10773945,alkenones,266.2772717
12.18509197,alkenones,285.3772774
12.23807144,alkenones,311.3432344
12.28022766,alkenones,307.3858257
12.28132361,d11B,189.8715808
12.4678278,alkenones,329.6780392
12.51791573,alkenones,259.4811619
12.58811474,alkenones,286.4906675
12.63901711,alkenones,283.7646508
12.69058418,alkenones,262.4969129
12.7,paleosols,267.1473657
12.71899273,d11B,222.8956867
12.77689838,alkenones,291.1080844
12.795,stomata,434
12.8,paleosols,273.3352264
12.81,alkenones,283
12.85032654,alkenones,274.684021
12.92738914,alkenones,264.5885907
12.9828968,alkenones,237.3608129
13,paleosols,176
13,paleosols,296
13.09939957,alkenones,296.6461473
13.14,paleosols,369.9009059
13.25318645,d11B,244.0539207
13.27401447,alkenones,283.4277066
13.32602978,alkenones,224.9289877
13.39293098,alkenones,296.7562333
13.44277287,alkenones,256.9600078
13.47688058,d11B,243.0641725
13.49428654,alkenones,302.7406456
13.59196377,alkenones,316.5753585
13.6,d11B,231.9341902
13.6018,alkenones,270.947
13.6436,alkenones,303.111
13.6506,alkenones,305.755
13.6576,alkenones,304.986
13.665,alkenones,307.628
13.6717,alkenones,289.419
13.6791,alkenones,260.972
13.6931,alkenones,294.316
13.6979,d11B,250.327
13.7,paleosols,101.3709537
13.7,paleosols,133.3333333
13.7039,alkenones,271.171
13.7088,alkenones,301.116
13.7155,alkenones,292.386
13.71589544,d11B,239.6754803
13.736,d11B,254.819
13.7405,d11B,229.789
13.7407,alkenones,305.239
13.7526,alkenones,304.841
13.7597,alkenones,291.561
13.76,paleosols,189.8003099
13.7659,alkenones,340.461
13.7662,d11B,301.029
13.76669121,alkenones,283.8501165
13.7725,alkenones,312.773
13.7787,alkenones,312.764
13.78478336,alkenones,308.1617197
13.7856,d11B,283.18
13.7857,alkenones,294.175
13.7919,alkenones,315.019
13.7985,d11B,311.217
13.7989,alkenones,329.416
13.8,stomata,334
13.83281529,d11B,257.1936541
13.84267616,alkenones,277.2639762
13.85473824,alkenones,330.7065123
13.885,stomata,287
13.885,stomata,292.511
14.1,alkenones,340.6678597
14.17085595,d11B,267.8358462
14.31072283,d11B,272.4063164
14.4,paleosols,132.020419
14.46503067,alkenones,314.343059
14.55729771,alkenones,300.7686134
14.59830475,alkenones,262.8249908
14.64534378,alkenones,457.58431
14.66,paleosols,73.8293002
14.69177818,alkenones,349.8419692
14.74,alkenones,430.0971043
14.77919579,alkenones,482.4947344
14.79601776,d11B,374.3741769
14.94,d11B,345.7796625
15.03006268,alkenones,463.9159659
15.03723343,d11B,331.9733256
15.11,paleosols,181.8794834
15.15,stomata,339
15.25,stomata,341
15.3,stomata,313
15.54134461,d11B,299.7772508
15.55988062,d11B,298.2588611
