Age,Type,CO2
1.83,phytoplankton,300.13
1.85414,phytoplankton,287.61
1.90793,phytoplankton,299.39
1.95914,phytoplankton,198.5
1.97,phytoplankton,312.1
1.99269,phytoplankton,302.23
2,phytoplankton,280.55
2.07,phytoplankton,312.47
2.09482,phytoplankton,235.1
2.11,phytoplankton,186.1
2.19823,phytoplankton,235.16
2.21,phytoplankton,307.67
2.22691,phytoplankton,302.8
2.27981,phytoplankton,257.72
2.29807,phytoplankton,258.78
2.3,phytoplankton,300.47
2.31,phytoplankton,205.29
2.35758,phytoplankton,333.77
2.40496,phytoplankton,452.26
2.42136,phytoplankton,275.45
2.45798,phytoplankton,354.87
2.49,phytoplankton,296.42
2.5016,phytoplankton,399.77
2.52358,phytoplankton,308.78
2.5322,phytoplankton,396.13
2.59,phytoplankton,190.31
2.5995,phytoplankton,194.45
2.60169,phytoplankton,246.56
2.60754,phytoplankton,147.63
2.60847,phytoplankton,294
2.61732,phytoplankton,170.5
2.61966,phytoplankton,191.2
2.62,phytoplankton,317.48
2.62702,phytoplankton,147.03
2.63361,phytoplankton,167.58
2.64229,phytoplankton,141.4
2.65061,phytoplankton,221.28
2.65685,phytoplankton,196.48
2.66622,phytoplankton,173.3
2.67518,phytoplankton,145.24
2.68,phytoplankton,324.42
2.68212,phytoplankton,168.64
2.68822,phytoplankton,264.64
2.69349,phytoplankton,264.25
2.69876,phytoplankton,260.46
2.70487,phytoplankton,211.4
2.70496,phytoplankton,299.24
2.70903,phytoplankton,140.98
2.7143,phytoplankton,180.29
2.71864,phytoplankton,200.31
2.74186,phytoplankton,203.65
2.75226,phytoplankton,169.04
2.76614,phytoplankton,168.62
2.78156,phytoplankton,227.21
2.78961,phytoplankton,169.08
2.79,phytoplankton,225.24
2.80498,phytoplankton,406.91
2.80996,phytoplankton,202.7
2.81,phytoplankton,314.04
2.82,phytoplankton,206.03
2.8515,phytoplankton,252.44
2.8616,phytoplankton,217.39
2.89,phytoplankton,235.33
2.89839,phytoplankton,371.48
2.90163,phytoplankton,151.56
2.91737,phytoplankton,189.88
2.9267,phytoplankton,151.31
2.93813,phytoplankton,191.3
2.94,phytoplankton,236.39
2.94364,phytoplankton,287.33
2.9807,phytoplankton,145.74
2.99,phytoplankton,290.94
2.99791,phytoplankton,403.28
3.00219,phytoplankton,144.37
3.01618,phytoplankton,149.03
3.02,phytoplankton,319.43
3.03414,phytoplankton,147.82
3.06914,phytoplankton,198.36
3.07,phytoplankton,248.89
3.07133,phytoplankton,328.81
3.08346,phytoplankton,258
3.08717,phytoplankton,143.77
3.0963,phytoplankton,154.23
3.10612,phytoplankton,152.3
3.12,phytoplankton,233.23
3.12598,phytoplankton,202.29
3.13044,phytoplankton,152.48
3.16,phytoplankton,321.16
3.16057,phytoplankton,184.13
3.17,phytoplankton,262.29
3.17143,phytoplankton,241.05
3.1814,phytoplankton,146.3
3.1899,phytoplankton,153.74
3.19999,phytoplankton,152.7
3.20923,phytoplankton,150.15
3.22012,phytoplankton,149.22
3.23,phytoplankton,238.52
3.24333,phytoplankton,153.14
3.24542,phytoplankton,273.61
3.25,phytoplankton,321.16
3.25703,phytoplankton,251.87
3.25975,phytoplankton,151.66
3.2671,phytoplankton,147.64
3.27526,phytoplankton,145.67
3.28675,phytoplankton,154.48
3.30003,phytoplankton,216.71
3.38,phytoplankton,304.6
3.45479,phytoplankton,367.1
3.46,phytoplankton,317.86
3.46574,phytoplankton,279.43
3.50634,phytoplankton,415.76
3.54,phytoplankton,315.64
3.54083,phytoplankton,248.72
3.62,phytoplankton,314.88
3.64955,phytoplankton,283.91
3.69,phytoplankton,333.95
3.71534,phytoplankton,261.95
3.74655,phytoplankton,362.34
3.81,phytoplankton,328.2
3.82888,phytoplankton,226.7
3.85,phytoplankton,293.19
3.9,phytoplankton,334.54
3.93,phytoplankton,220.6
3.94777,phytoplankton,403.86
3.9701,phytoplankton,247.57
4,phytoplankton,331
4.00887,phytoplankton,374.35
4.03,phytoplankton,244.46
4.08098,phytoplankton,287.5
4.10539,phytoplankton,306.54
4.11,phytoplankton,301.8
4.11,phytoplankton,338.07
4.21,phytoplankton,346.26
4.25543,phytoplankton,270.39
4.297,phytoplankton,105.59
4.3,phytoplankton,341.55
4.32106,phytoplankton,378.04
4.34,phytoplankton,327.24
4.39,phytoplankton,323.85
4.43,phytoplankton,290.48
4.437,phytoplankton,364.51
4.54,phytoplankton,344.52
4.58,phytoplankton,309.53
4.58,phytoplankton,334.3
4.59081,phytoplankton,326.06
4.59258,phytoplankton,336.78
4.62,phytoplankton,343.03
4.624,phytoplankton,123.31
4.69,phytoplankton,317.29
4.75286,phytoplankton,425.6
4.78,phytoplankton,225.24
4.86,phytoplankton,236.36
4.94,phytoplankton,252.04
4.94096,phytoplankton,341.62
5.00255,phytoplankton,334.89
5.009,phytoplankton,123.39
5.04,phytoplankton,238.46
5.13346,phytoplankton,166.94
5.19,phytoplankton,245.96
5.26212,phytoplankton,311.66
5.264,phytoplankton,129.86
5.29371,phytoplankton,341.22
5.549,phytoplankton,131.55
5.56497,phytoplankton,235.24
5.663,phytoplankton,130.92
5.789,phytoplankton,105.09
5.799,phytoplankton,108.97
5.823,phytoplankton,107.13
5.85539,phytoplankton,299.68
6.00348,phytoplankton,402.12
6.022,phytoplankton,202.55
6.03479,phytoplankton,243.12
6.106,phytoplankton,116.3
6.154,phytoplankton,111.87
6.19027,phytoplankton,350.39
6.215,phytoplankton,112.76
6.261,phytoplankton,119.98
6.282,phytoplankton,119.59
6.305,phytoplankton,207.92
6.361,phytoplankton,207.88
6.36967,phytoplankton,337.2
6.406,phytoplankton,116.01
6.453,phytoplankton,119.35
6.507,phytoplankton,115.53
6.52515,phytoplankton,160.49
6.529,phytoplankton,121.13
6.587,phytoplankton,124.03
6.677,phytoplankton,127.74
6.707,phytoplankton,130.21
6.78,phytoplankton,132.05
6.843,phytoplankton,132.24
6.888,phytoplankton,128.44
6.959,phytoplankton,134.63
7.00128,phytoplankton,503.35
7.049,phytoplankton,136.45
7.14028,phytoplankton,373.35
7.326,phytoplankton,235.77
7.609,phytoplankton,251.82
8.00036,phytoplankton,246.55
8.196,phytoplankton,275.74
8.924,phytoplankton,251.2
9.205,phytoplankton,235.97
9.293,phytoplankton,215.14
9.30814,phytoplankton,423.12
9.37,phytoplankton,220.66
9.421,phytoplankton,126.72
9.718,phytoplankton,276.94
9.836,phytoplankton,237.81
9.865,phytoplankton,115.88
9.941,phytoplankton,221.53
10.02,phytoplankton,133.96
10.114,phytoplankton,253.95
10.177,phytoplankton,148.22
10.241,phytoplankton,234.3
10.302,phytoplankton,230.54
10.33011,phytoplankton,285.05
10.364,phytoplankton,126.91
10.426,phytoplankton,117.8
10.478,phytoplankton,267.16
10.523,phytoplankton,136.2
10.706,phytoplankton,236.4
10.835,phytoplankton,125.21
11.189,phytoplankton,122.49
11.20048,phytoplankton,322.33
11.518,phytoplankton,227.96
11.579,phytoplankton,214.41
11.733,phytoplankton,221.3
11.965,phytoplankton,219.21
12.037,phytoplankton,248.3
12.108,phytoplankton,139.78
12.185,phytoplankton,229
12.238,phytoplankton,247.75
12.28,phytoplankton,246.58
12.46348,phytoplankton,375.31
12.468,phytoplankton,269.74
12.518,phytoplankton,136.13
12.588,phytoplankton,228.31
