Age,Type,CO2
177,Phytoplankton,987.6
178,Phytoplankton,680.5
178,Phytoplankton,1031.3
178,Phytoplankton,975.9
178,Phytoplankton,1022.2
178,Phytoplankton,807.6
178,Phytoplankton,666.8
178,Phytoplankton,694.7
179,Phytoplankton,966.4
179,Phytoplankton,1037.2
180,Phytoplankton,1013.8
180,Phytoplankton,957.1
181,Phytoplankton,983.7
181,Phytoplankton,995.5
182,Phytoplankton,795.9
182,Phytoplankton,979.8
184,Phytoplankton,645.9
200,Phytoplankton,870.5
205,Phytoplankton,1229.6
226,Phytoplankton,1038.8
226,Phytoplankton,1020.6
226,Phytoplankton,1590.4
237,Phytoplankton,741.4
242,Phytoplankton,683.3
246,Phytoplankton,1185.9
247,Phytoplankton,1055.7
247,Phytoplankton,1619.8
248,Phytoplankton,423.2
253,Phytoplankton,872.6
253,Phytoplankton,1085.2
256,Phytoplankton,694.9
262,Phytoplankton,573.9
262,Phytoplankton,462.5
343,Phytoplankton,498.4
355,Phytoplankton,271.5
355,Phytoplankton,501.7
372,Phytoplankton,937.3
372,Phytoplankton,1116.5
377,Phytoplankton,949
377,Phytoplankton,1160.6
377,Phytoplankton,905.6
378,Phytoplankton,1306.6
378,Phytoplankton,977.6
378,Phytoplankton,878.2
379,Phytoplankton,1032.5
379,Phytoplankton,928.3
379,Phytoplankton,936
379,Phytoplankton,956.3
379,Phytoplankton,948
379,Phytoplankton,995.5
380,Phytoplankton,835.8
383,Phytoplankton,1237.5
383,Phytoplankton,1267.5
383,Phytoplankton,1083.6
383,Phytoplankton,1020.3
383,Phytoplankton,1367.1
388,Phytoplankton,721.6
432,Phytoplankton,509.4
438,Phytoplankton,666.3
450,Phytoplankton,678.9
450,Phytoplankton,655.7
450,Phytoplankton,655.7
450,Phytoplankton,717.1
450,Phytoplankton,568.2
450,Phytoplankton,717.1
450,Phytoplankton,691.2
450,Phytoplankton,562.4
450,Phytoplankton,600
450,Phytoplankton,562.4
450,Phytoplankton,537.2
452,Phytoplankton,373
455,Phytoplankton,373
455,Phytoplankton,393
455,Phytoplankton,373
455,Phytoplankton,329.3
455,Phytoplankton,358.3
455,Phytoplankton,317.9
455,Phytoplankton,361.9
455,Phytoplankton,365.5
